fyear,event_year,n_rows,n_events,event_rate,seed,protocol_version
1999,2000,5308,3,0.000565184626978,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2000,2001,5226,7,0.00133945656334,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2001,2002,4897,10,0.00204206657137,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2002,2003,4651,17,0.00365512792948,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2003,2004,4417,29,0.00656554222323,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2004,2005,4348,46,0.0105795768169,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2005,2006,4205,40,0.00951248513674,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2006,2007,4128,51,0.0123546511628,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2007,2008,4009,59,0.0147168870042,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2008,2009,3857,58,0.015037593985,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2009,2010,3743,23,0.00614480363345,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2010,2011,3625,35,0.00965517241379,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2011,2012,3513,25,0.00711642470823,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2012,2013,3485,26,0.00746054519369,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2013,2014,3484,28,0.00803673938002,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2014,2015,3504,33,0.00941780821918,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2015,2016,3354,33,0.00983899821109,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2016,2017,3191,29,0.00908806016923,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2017,2018,3014,21,0.00696748506967,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2018,2019,2723,36,0.0132207124495,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
