round,test_feature_year,test_event_year,pool_size_actual,FIFO_minus_Newest_PR_AUC,FIFO_minus_Newest_AUC,FIFO_minus_Newest_F1,FIFO_minus_Newest_Recall,FIFO_minus_Newest_Precision,analysis_protocol_version
1,2003,2004,1,0,0,0,0,0,study3b_sliding_old_new_posthoc_v1
2,2004,2005,2,-0.002968611481,-0.015488246114,0.0038377192982,0,0.0353535353535,study3b_sliding_old_new_posthoc_v1
3,2005,2006,3,-0.0058422577254,-0.026146458584,0,0,0,study3b_sliding_old_new_posthoc_v1
4,2006,2007,3,0.0089416032153,0.026023556345,0.0643096173436,0.0588235294118,0.0674603174604,study3b_sliding_old_new_posthoc_v1
5,2007,2008,3,0.0104499965731,0.047333190303,-0.006362439667,-0.050847457627,0.0035282549598,study3b_sliding_old_new_posthoc_v1
6,2008,2009,3,-0.00435246333,0.020114186128,-0.050067853084,0.120689655172,-0.0461804056969,study3b_sliding_old_new_posthoc_v1
7,2009,2010,3,-0.0067400016406,-0.012120149602,0.013643410853,0.0869565217389,-0.0230769230769,study3b_sliding_old_new_posthoc_v1
8,2010,2011,3,0.0500470099182,0.022801432551,0.0442967884829,0.0285714285714,0.089285714286,study3b_sliding_old_new_posthoc_v1
9,2011,2012,3,-0.005355330189,-0.006571100917,0.107675906183,0.16,0.0783410138247,study3b_sliding_old_new_posthoc_v1
10,2012,2013,3,0.00832378057,0.009117797496,0.045407636739,0.153846153846,-0.241935483871,study3b_sliding_old_new_posthoc_v1
11,2013,2014,3,0.0025900173978,0.073474702381,0.032679738562,0,0.163043478261,study3b_sliding_old_new_posthoc_v1
12,2014,2015,3,-0.0156853919389,0.021127436857,0.008852459016,0.090909090909,-0.038379530917,study3b_sliding_old_new_posthoc_v1
13,2015,2016,3,0.015740763349,0.001569443303,-0.062637362637,0.090909090909,-0.129351265823,study3b_sliding_old_new_posthoc_v1
14,2016,2017,3,0.147212221244,0.005638072804,0.094155844156,0.137931034483,0,study3b_sliding_old_new_posthoc_v1
15,2017,2018,3,0.022862224446,0.02617217953,0.131034482759,0.142857142857,0.085526315789,study3b_sliding_old_new_posthoc_v1
16,2018,2019,3,-0.019814996484,0.004119629492,-0.080836630865,-0.055555555556,-0.129090909091,study3b_sliding_old_new_posthoc_v1
