new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.6107,0.6116,0.6109,0.6012,0.6086
14yr,0.6144,0.6121,0.5755,0.6099,0.6030
13yr,0.5842,0.5863,0.5879,0.6431,0.6004
12yr,0.5946,0.5791,0.5974,0.6337,0.6012
11yr,0.5727,0.5773,0.5791,0.6043,0.5833
10yr,0.5695,0.5537,0.5306,0.5804,0.5585
9yr,0.5544,0.5566,0.5595,0.6062,0.5692
8yr,0.5420,0.5415,0.5450,0.5931,0.5554
7yr,0.5394,0.5415,0.5355,0.5559,0.5431
6yr,0.5324,0.5319,0.5214,0.5605,0.5366
5yr,0.5352,0.5382,0.5324,0.5847,0.5476
4yr,0.5769,0.5766,0.5725,0.5858,0.5780
3yr,0.5930,0.5897,0.5708,0.5946,0.5870
2yr,0.5723,0.5747,0.5664,0.6085,0.5805
avg,0.5708,0.5693,0.5632,0.5973,0.5752
